Test Loss MAPE,Train Loss MAPE,Test Loss MSE,Train Loss MSE
0.8113397359848022,0.8113397359848022,0.8113397359848022,0.8113397359848022
0.5949347019195557,0.5949347019195557,0.5949347019195557,0.5949347019195557
0.7233202457427979,0.7233202457427979,0.7233202457427979,0.7233202457427979
0.4943089187145233,0.4943089187145233,0.4943089187145233,0.4943089187145233
0.4999532401561737,0.4999532401561737,0.4999532401561737,0.4999532401561737
0.45751315355300903,0.45751315355300903,0.45751315355300903,0.45751315355300903
0.41570183634757996,0.41570183634757996,0.41570183634757996,0.41570183634757996
0.3771461248397827,0.3771461248397827,0.3771461248397827,0.3771461248397827
0.3451388478279114,0.3451388478279114,0.3451388478279114,0.3451388478279114
0.3169190585613251,0.3169190585613251,0.3169190585613251,0.3169190585613251
0.29359930753707886,0.29359930753707886,0.29359930753707886,0.29359930753707886
0.27332788705825806,0.27332788705825806,0.27332788705825806,0.27332788705825806
0.25609707832336426,0.25609707832336426,0.25609707832336426,0.25609707832336426
0.24151882529258728,0.24151882529258728,0.24151882529258728,0.24151882529258728
0.22829866409301758,0.22829866409301758,0.22829866409301758,0.22829866409301758
0.21714359521865845,0.21714359521865845,0.21714359521865845,0.21714359521865845
0.2072804719209671,0.2072804719209671,0.2072804719209671,0.2072804719209671
0.19908489286899567,0.19908489286899567,0.19908489286899567,0.19908489286899567
0.19201192259788513,0.19201192259788513,0.19201192259788513,0.19201192259788513
0.18627767264842987,0.18627767264842987,0.18627767264842987,0.18627767264842987
0.18130476772785187,0.18130476772785187,0.18130476772785187,0.18130476772785187
0.17718727886676788,0.17718727886676788,0.17718727886676788,0.17718727886676788
0.17334070801734924,0.17334070801734924,0.17334070801734924,0.17334070801734924
0.1704685091972351,0.1704685091972351,0.1704685091972351,0.1704685091972351
0.16796612739562988,0.16796612739562988,0.16796612739562988,0.16796612739562988
0.16573897004127502,0.16573897004127502,0.16573897004127502,0.16573897004127502
0.16371102631092072,0.16371102631092072,0.16371102631092072,0.16371102631092072
0.16183385252952576,0.16183385252952576,0.16183385252952576,0.16183385252952576
0.1601773202419281,0.1601773202419281,0.1601773202419281,0.1601773202419281
0.1585906594991684,0.1585906594991684,0.1585906594991684,0.1585906594991684
0.1571366935968399,0.1571366935968399,0.1571366935968399,0.1571366935968399
0.15579430758953094,0.15579430758953094,0.15579430758953094,0.15579430758953094
0.1545211672782898,0.1545211672782898,0.1545211672782898,0.1545211672782898
0.15331339836120605,0.15331339836120605,0.15331339836120605,0.15331339836120605
0.1522037386894226,0.1522037386894226,0.1522037386894226,0.1522037386894226
0.15116921067237854,0.15116921067237854,0.15116921067237854,0.15116921067237854
0.15019752085208893,0.15019752085208893,0.15019752085208893,0.15019752085208893
0.1492900550365448,0.1492900550365448,0.1492900550365448,0.1492900550365448
0.1484721153974533,0.1484721153974533,0.1484721153974533,0.1484721153974533
0.1477060168981552,0.1477060168981552,0.1477060168981552,0.1477060168981552
0.14697976410388947,0.14697976410388947,0.14697976410388947,0.14697976410388947
0.14630277454853058,0.14630277454853058,0.14630277454853058,0.14630277454853058
0.14566262066364288,0.14566262066364288,0.14566262066364288,0.14566262066364288
0.14507168531417847,0.14507168531417847,0.14507168531417847,0.14507168531417847
0.14451467990875244,0.14451467990875244,0.14451467990875244,0.14451467990875244
0.14399321377277374,0.14399321377277374,0.14399321377277374,0.14399321377277374
0.14350125193595886,0.14350125193595886,0.14350125193595886,0.14350125193595886
0.14304566383361816,0.14304566383361816,0.14304566383361816,0.14304566383361816
0.14261309802532196,0.14261309802532196,0.14261309802532196,0.14261309802532196
0.14221443235874176,0.14221443235874176,0.14221443235874176,0.14221443235874176
0.14183375239372253,0.14183375239372253,0.14183375239372253,0.14183375239372253
0.14147856831550598,0.14147856831550598,0.14147856831550598,0.14147856831550598
0.14114616811275482,0.14114616811275482,0.14114616811275482,0.14114616811275482
0.14083203673362732,0.14083203673362732,0.14083203673362732,0.14083203673362732
0.1405402272939682,0.1405402272939682,0.1405402272939682,0.1405402272939682
0.1402626931667328,0.1402626931667328,0.1402626931667328,0.1402626931667328
0.14000900089740753,0.14000900089740753,0.14000900089740753,0.14000900089740753
0.13976821303367615,0.13976821303367615,0.13976821303367615,0.13976821303367615
0.13954325020313263,0.13954325020313263,0.13954325020313263,0.13954325020313263
0.13932771980762482,0.13932771980762482,0.13932771980762482,0.13932771980762482
0.13913270831108093,0.13913270831108093,0.13913270831108093,0.13913270831108093
0.1389431655406952,0.1389431655406952,0.1389431655406952,0.1389431655406952
