model,athletes,train_mse,test_mse,mape_train,mape_test,total_epochs
handler038.pkl,"19023831, 2081128, 2081128, 10446972, 22835898, 22835898, 7947798, 5688059, 11348733, 18223349, 5421161, 5151970, 3460571, 19741163, 25191153, 25191153, 25191153, 25191153, 25191153, 15515123, 11088529, 11284478, 3539760, 22843389, 14588097, 20136629, 2913078, 16021442, 22891135, 34669133, 1776170, 26367918, 21299972, 12701438, 14019837, 12740383, 34460713, 18042525",0.0032418993615870736,0.003216045442968607,0.232908774014697,0.22201243042945862,7
handler040.pkl,"12642956, 12642956",0.007118882236277891,0.0068375482223927975,0.2675182802809609,0.2721661627292633,128
handler045.pkl,"20653961, 20653961, 20653961, 20653961, 20653961, 20653961, 16378210, 2081128, 10446972, 22835898, 22835898, 7947798, 5688059, 11348733, 18223349, 5421161, 5151970, 3460571, 19741163, 25191153, 25191153, 25191153, 25191153, 25191153, 15515123, 11088529, 11284478, 3539760, 22843389, 14588097, 20136629, 2913078, 16021442, 22891135, 34669133, 1776170, 26367918, 21299972, 12701438, 14019837, 12740383, 34460713, 18042525, 12642956",0.003320832505285451,0.0032522655092179775,0.2338212180144423,0.22684745490550995,7
handler046.pkl,12642956,0.007118882236277891,0.0068375482223927975,0.2675182802809609,0.2721661627292633,128
